row,col,std,custom,similarity,match
6,1,,,1.0,True
6,2,,,1.0,True
6,3,,,1.0,True
6,4,,,1.0,True
6,5,,,1.0,True
6,6,,,1.0,True
6,7,,,1.0,True
6,8,,,1.0,True
6,9,,,1.0,True
6,10,,,1.0,True
6,11,,,1.0,True
6,12,,,1.0,True
6,13,,,1.0,True
6,14,,,1.0,True
6,15,,,1.0,True
6,16,,,1.0,True
6,17,,,1.0,True
6,18,,,1.0,True
6,19,,,1.0,True
6,20,,,1.0,True
6,21,,,1.0,True
6,22,,,1.0,True
6,23,,,1.0,True
6,24,,,1.0,True
6,25,,,1.0,True
6,26,,,1.0,True
6,27,,,1.0,True
6,28,,,1.0,True
6,29,,,1.0,True
6,30,,,1.0,True
6,31,,,1.0,True
6,32,,,1.0,True
6,33,,,1.0,True
6,34,,,1.0,True
6,35,,,1.0,True
6,36,,,1.0,True
6,37,,,1.0,True
6,38,,,1.0,True
6,39,,,1.0,True
6,40,,,1.0,True
6,41,,,1.0,True
6,42,,,1.0,True
6,43,,,1.0,True
6,44,,,1.0,True
6,45,,,1.0,True
6,46,,,1.0,True
6,47,,,1.0,True
6,48,,,1.0,True
6,49,,,1.0,True
6,50,,,1.0,True
6,51,,,1.0,True
6,52,,,1.0,True
6,53,,,1.0,True
6,54,,,1.0,True
6,55,,,1.0,True
6,56,,,1.0,True
6,57,,,1.0,True
6,58,,,1.0,True
6,59,,,1.0,True
6,60,,,1.0,True
6,61,,,1.0,True
7,0,anbuna Percutor.,anbunA Porcutorl,0.812,False
7,1,,,1.0,True
7,2,,,1.0,True
7,3,,,1.0,True
7,4,,,1.0,True
7,5,,,1.0,True
7,6,,,1.0,True
7,7,,,1.0,True
7,8,,,1.0,True
7,9,,,1.0,True
7,10,,,1.0,True
7,11,,,1.0,True
7,12,,,1.0,True
7,13,,,1.0,True
7,14,,,1.0,True
7,15,,,1.0,True
7,16,,,1.0,True
7,17,,,1.0,True
7,18,,,1.0,True
7,19,,,1.0,True
7,20,,,1.0,True
7,21,,,1.0,True
7,22,,,1.0,True
7,23,,,1.0,True
7,24,,,1.0,True
7,25,,,1.0,True
7,26,,,1.0,True
7,27,,,1.0,True
7,28,,,1.0,True
7,29,,,1.0,True
